timestamp,x,y,z
1485545685405154,-0.114746,0.0107422,0.994629
1485545685428183,-0.0844727,-0.0078125,0.983398
1485545685443180,-0.118652,0.0883789,0.986816
1485545685468211,-0.125,0.0454102,1.00928
1485545685488245,-0.146973,0.0439453,0.998535
1485545685502756,-0.130859,0.0102539,1.00391
1485545685528053,-0.125488,0.0180664,0.991699
1485545685580099,-0.116699,0.0483398,0.998535
1485545685581095,-0.125488,0.0620117,1.00537
1485545685591114,-0.120605,0.0581055,1.01318
1485545685608141,-0.128418,0.0229492,0.988281
1485545685624135,-0.121094,0.0112305,0.98877
1485545685655170,-0.106934,0.0180664,0.992188
1485545685690221,-0.105957,0.0302734,1.00439
1485545685700709,-0.128418,0.0444336,1.00244
1485545685706129,-0.149414,0.0307617,0.996582
1485545685728151,-0.132813,0.0258789,1.00537
1485545685744158,-0.118164,0.0332031,0.989746
1485545685775168,-0.109375,0.0234375,0.989746
1485545685789706,-0.109863,0.012207,0.992676
1485545685812731,-0.128418,0.0136719,0.992188
1485545685834738,-0.141602,0.0102539,0.990723
1485545685849248,-0.144043,0.00878906,1
1485545685872252,-0.121094,0.0224609,1.00293
1485545685894778,-0.133301,0.03125,0.991211
1485545685909293,-0.129883,0.0283203,0.994629
1485545685932304,-0.122559,0.0361328,0.999512
1485545685954818,-0.137207,0.0341797,0.999023
1485545685969335,-0.13623,0.00732422,0.989746
1485545685992346,-0.132324,0.00927734,0.996094
1485545686014861,-0.127441,0.0170898,0.991699
1485545686029372,-0.126953,0.0341797,0.997559
1485545686052388,-0.124512,0.0244141,1.00195
1485545686074909,-0.13623,0.0126953,1.00049
1485545686095919,-0.133301,0.012207,0.995605
1485545686112430,-0.129883,0.00732422,0.98877
1485545686134947,-0.131348,0.0239258,1.00195
1485545686156962,-0.126953,0.0444336,1.00439
1485545686172974,-0.131836,0.0541992,1.01563
1485545686194994,-0.127441,0.0390625,0.992188
1485545686216003,-0.137695,0.0126953,0.990723
1485545686232515,-0.132324,0.00683594,0.990234
1485545686255031,-0.12793,0.0161133,0.993164
1485545686276036,-0.125488,0.0253906,0.996582
1485545686292547,-0.125977,0.0371094,1.00195
1485545686315063,-0.131348,0.0419922,0.997559
1485545686336078,-0.135742,0.0366211,1.00244
1485545686352589,-0.128906,0.0302734,0.994141
1485545686375105,-0.129883,0.0239258,0.987305
1485545686396120,-0.129883,0.0292969,1
1485545686412632,-0.129883,0.0493164,1.00146
1485545686435148,-0.125977,0.03125,0.992676
1485545686456163,-0.121094,0.012207,0.99707
1485545686472674,-0.121094,0.0102539,0.995117
1485545686495193,-0.122559,0.0136719,0.99707
1485545686517299,-0.125,0.0200195,0.996094
1485545686532321,-0.123047,0.0234375,0.995605
1485545686554824,-0.123535,0.0351563,0.999023
1485545686577350,-0.123535,0.0209961,0.992676
1485545686592352,-0.128906,0.00878906,0.993652
1485545686614868,-0.128418,0.0229492,0.995117
1485545686637384,-0.124023,0.0249023,1.00098
1485545686651894,-0.125488,0.0273438,0.998047
1485545686680913,-0.119141,0.0292969,0.996094
1485545686697425,-0.123047,0.0195313,0.99707
1485545686719941,-0.125977,0.0234375,0.993652
1485545686740969,-0.127441,0.0107422,0.999512
1485545686757480,-0.126465,0.0166016,1.00098
1485545686779995,-0.124512,0.0209961,1.00488
1485545686801028,-0.121094,0.0214844,0.997559
1485545686817522,-0.129883,0.0341797,0.994141
1485545686840025,-0.128418,0.0205078,0.990723
1485545686861053,-0.126953,0.0161133,0.995605
1485545686877564,-0.126953,0.0117188,0.990723
1485545686900069,-0.132324,0.0200195,0.998047
1485545686921092,-0.124512,0.0263672,1.00244
1485545686945141,-0.118652,0.019043,0.99707
1485545686960162,-0.125,0.019043,0.995605
1485545686981182,-0.125488,0.0209961,0.997559
1485545686997688,-0.123047,0.0249023,0.995605
1485545687020193,-0.133789,0.0371094,1.00098
1485545687042719,-0.130371,0.0371094,0.99707
1485545687057729,-0.125488,0.034668,1.00098
1485545687079735,-0.121582,0.0214844,0.996094
1485545687102274,-0.123535,0.0126953,0.999023
1485545687117262,-0.12207,0.00878906,0.992676
1485545687139779,-0.128906,0.0229492,0.991699
1485545687162306,-0.129883,0.027832,0.995605
1485545687176821,-0.129395,0.0253906,1.00098
1485545687199833,-0.126953,0.0283203,0.998535
1485545687222336,-0.125488,0.0239258,0.998047
1485545687236856,-0.12793,0.019043,0.989746
1485545687259874,-0.125977,0.0229492,0.996582
1485545687282388,-0.124512,0.0361328,0.999512
1485545687296900,-0.12793,0.0332031,0.996094
1485545687319920,-0.129395,0.0410156,1.00049
1485545687342434,-0.131348,0.0463867,0.99707
1485545687356941,-0.129395,0.0405273,0.994629
1485545687379957,-0.126953,0.0302734,0.998535
1485545687402464,-0.12793,0.0297852,0.996582
1485545687416974,-0.123047,0.0336914,1.00146
1485545687439990,-0.12793,0.027832,0.996094
1485545687462506,-0.128418,0.0297852,0.991699
1485545687477015,-0.121094,0.0219727,0.996094
1485545687500033,-0.123047,0.0224609,0.998535
1485545687522548,-0.128418,0.0205078,0.994629
1485545687543601,-0.126465,0.0253906,0.994141
1485545687560122,-0.127441,0.0302734,1.00049
1485545687590142,-0.131836,0.0463867,0.999023
1485545687603652,-0.129395,0.0463867,0.997559
1485545687620164,-0.130371,0.0375977,0.992188
1485545687642695,-0.128418,0.0297852,0.989258
1485545687663694,-0.130371,0.0283203,0.991699
1485545687680197,-0.131836,0.0249023,0.990723
1485545687702713,-0.12793,0.0478516,1.00781
1485545687723727,-0.127441,0.0380859,1
1485545687739739,-0.124023,0.027832,0.992676
1485545687762264,-0.126465,0.0200195,0.987305
1485545687783310,-0.125488,0.0166016,0.994141
1485545687800321,-0.130859,0.0341797,0.996094
1485545687822337,-0.133301,0.0473633,0.99707
1485545687843365,-0.132813,0.050293,0.998535
1485545687859881,-0.130371,0.0361328,0.994629
1485545687882390,-0.125977,0.0288086,0.989746
1485545687903438,-0.123535,0.0239258,0.992188
1485545687919957,-0.125977,0.0297852,0.995117
1485545687942465,-0.128418,0.0405273,0.993164
1485545687964981,-0.124512,0.0214844,0.998047
1485545687979991,-0.128906,0.0200195,0.991699
1485545688002552,-0.127441,0.0307617,0.991699
1485545688025066,-0.138184,0.0449219,1.0127
1485545688040071,-0.12207,0.043457,0.992676
1485545688062586,-0.119629,0.0307617,0.992188
1485545688085103,-0.123047,0.0234375,0.987305
1485545688100118,-0.129395,0.0327148,0.997559
1485545688122628,-0.128418,0.0292969,0.996094
1485545688145145,-0.125488,0.034668,0.993652
1485545688159151,-0.122559,0.0244141,0.995117
1485545688182671,-0.124023,0.0209961,0.996094
1485545688205187,-0.126953,0.0317383,0.995605
1485545688219214,-0.126953,0.027832,0.992188
1485545688242724,-0.125488,0.0273438,0.997559
1485545688264731,-0.125,0.0209961,0.995117
1485545688279739,-0.126465,0.0239258,0.999023
1485545688302245,-0.127441,0.0297852,0.998047
1485545688332287,-0.131836,0.0380859,0.996094
1485545688339283,-0.133789,0.0415039,1.00342
1485545688362298,-0.128906,0.0395508,0.99707
1485545688384804,-0.129883,0.0375977,0.996094
1485545688399324,-0.128418,0.0297852,0.993164
1485545688422340,-0.12793,0.0385742,1.00098
1485545688444856,-0.122559,0.0375977,0.991699
1485545688466872,-0.124023,0.0263672,0.996582
1485545688482373,-0.125,0.0332031,0.98877
1485545688504901,-0.125488,0.0244141,0.998047
1485545688525903,-0.124023,0.0419922,1.00244
1485545688542427,-0.128418,0.0483398,0.999512
1485545688564943,-0.130859,0.0405273,0.995117
1485545688585961,-0.120117,0.0341797,0.993652
1485545688609975,-0.116699,0.0239258,0.991699
1485545688624991,-0.124512,0.0268555,0.993164
1485545688645999,-0.125,0.0419922,1.00146
1485545688662509,-0.126465,0.0419922,0.989258
1485545688685014,-0.123047,0.0336914,0.995605
1485545688707544,-0.118652,0.0317383,1.00293
1485545688722551,-0.124023,0.0463867,0.994141
1485545688745067,-0.125,0.0415039,1.00781
1485545688766111,-0.12207,0.0615234,0.98584
1485545688782594,-0.128906,0.0327148,0.995605
1485545688805116,-0.126953,0.0151367,0.984863
1485545688826130,-0.129883,0.00390625,0.994629
1485545688843137,-0.0888672,0.00146484,0.995117
1485545688865159,-0.112793,0.0463867,1.00049
1485545688886172,-0.139648,0.0527344,1.00195
1485545688902679,-0.141113,0.0571289,1.00146
1485545688925194,-0.123047,0.00732422,0.981934
1485545688947723,-0.103027,0.0131836,0.981934
1485545688962730,-0.111816,-0.0229492,0.994629
1485545688985243,-0.101563,-0.0810547,1
1485545689007242,-0.143066,0.0668945,1.00781
1485545689029759,-0.130859,-0.012207,0.995117
1485545689044780,-0.141113,-0.0078125,0.997559
1485545689067285,-0.131836,-0.0205078,0.978516
1485545689081805,-0.105469,0.00585938,0.999023
1485545689104821,-0.0922852,0,1.00098
1485545689127336,-0.119629,0.0292969,0.985352
1485545689141848,-0.123535,0.0141602,1.00488
1485545689164863,-0.10498,0.0512695,1.00293
1485545689187389,-0.116699,-0.0605469,0.990723
1485545689201889,-0.141602,0.0209961,0.989746
1485545689224929,-0.134766,-0.0107422,0.993164
1485545689247424,-0.120605,0.00390625,0.995605
1485545689261932,-0.130371,0.0253906,0.993164
1485545689284947,-0.126465,-0.0107422,0.98584
1485545689307463,-0.123047,0.0141602,0.983887
1485545689321974,-0.122559,0.0107422,0.994629
1485545689352496,-0.135742,0.0244141,1.01123
1485545689367506,-0.133789,0.043457,1.00781
1485545689382033,-0.13916,0.0327148,1.00098
1485545689405022,-0.132813,0.0253906,0.99707
1485545689427538,-0.131348,0.0224609,1
1485545689448553,-0.135742,0.0322266,1.00098
1485545689465065,-0.131836,0.034668,0.998047
1485545689487580,-0.130859,0.0307617,0.996582
1485545689508595,-0.128418,0.0229492,0.99707
1485545689532612,-0.133789,0.0297852,0.996582
1485545689547623,-0.129395,0.0292969,1.00195
