timestamp,x,y,z,w
1485545685405154,-0.0200806,0.0579224,0.380188,0.922852
1485545685428183,-0.0174561,0.0571899,0.379944,0.923035
1485545685443180,-0.0141602,0.0584717,0.379578,0.923157
1485545685468211,-0.0131836,0.0586548,0.380005,0.922974
1485545685488245,-0.0123901,0.0592041,0.380188,0.922913
1485545685502756,-0.012085,0.0592041,0.380432,0.922791
1485545685528053,-0.0114746,0.0592041,0.380798,0.922668
1485545685580099,-0.0100708,0.0596313,0.381042,0.922546
1485545685581095,-0.00897217,0.0601196,0.381287,0.922424
1485545685591114,-0.0088501,0.0603027,0.381287,0.922424
1485545685608141,-0.0100098,0.0598755,0.381714,0.922241
1485545685624135,-0.0106812,0.0594482,0.381958,0.92218
1485545685655170,-0.0105591,0.0594482,0.382019,0.922119
1485545685690221,-0.010498,0.0598145,0.38208,0.922058
1485545685700709,-0.0109863,0.0606079,0.38208,0.922058
1485545685706129,-0.0120239,0.0610962,0.382263,0.921936
1485545685728151,-0.0127563,0.0611572,0.38208,0.921936
1485545685744158,-0.0134888,0.0610352,0.381897,0.922058
1485545685775168,-0.0136108,0.0610352,0.381836,0.922058
1485545685789706,-0.013855,0.0610352,0.381836,0.922058
1485545685812731,-0.0140991,0.0614624,0.381836,0.921997
1485545685834738,-0.0144043,0.0618286,0.381897,0.921997
1485545685849248,-0.0144043,0.0620117,0.381836,0.921997
1485545685872252,-0.0139771,0.0621338,0.381836,0.921997
1485545685894778,-0.0136719,0.0623169,0.381897,0.921936
1485545685909293,-0.0135498,0.062439,0.381714,0.922058
1485545685932304,-0.0134888,0.062439,0.381714,0.922058
1485545685954818,-0.0137329,0.062561,0.381592,0.922058
1485545685969335,-0.0144653,0.0623169,0.38147,0.922119
1485545685992346,-0.0147705,0.0622559,0.381226,0.922241
1485545686014861,-0.0148315,0.0622559,0.380981,0.922302
1485545686029372,-0.0144043,0.0622559,0.380859,0.922363
1485545686052388,-0.0140991,0.0623169,0.380859,0.922363
1485545686074909,-0.0140381,0.062439,0.380981,0.922302
1485545686095919,-0.0140381,0.0625,0.380981,0.922302
1485545686112430,-0.0137329,0.062561,0.38092,0.922363
1485545686134947,-0.0130615,0.0628662,0.380737,0.922424
1485545686156962,-0.012146,0.0631714,0.380554,0.922485
1485545686172974,-0.0114746,0.0632324,0.380432,0.922546
1485545686194994,-0.0119629,0.0628662,0.380432,0.922546
1485545686216003,-0.0126953,0.062561,0.380554,0.922485
1485545686232515,-0.0127563,0.062561,0.380554,0.922485
1485545686255031,-0.0125732,0.0625,0.380554,0.922485
1485545686276036,-0.012207,0.0625,0.380554,0.922546
1485545686292547,-0.0117188,0.0625,0.380615,0.922485
1485545686315063,-0.0116577,0.062561,0.380615,0.922485
1485545686336078,-0.0117798,0.0625,0.380676,0.922485
1485545686352589,-0.0119629,0.0622559,0.380798,0.922424
1485545686375105,-0.012207,0.0620117,0.38092,0.922424
1485545686396120,-0.012207,0.0620728,0.38092,0.922424
1485545686412632,-0.012085,0.0619507,0.381042,0.922363
1485545686435148,-0.0126953,0.0614624,0.381104,0.922363
1485545686456163,-0.0135498,0.0609741,0.381165,0.922363
1485545686472674,-0.0140381,0.0606689,0.381287,0.922302
1485545686495193,-0.0140381,0.0606079,0.38147,0.922241
1485545686517299,-0.013916,0.0606079,0.381714,0.922119
1485545686532321,-0.0137939,0.0605469,0.381897,0.922058
1485545686554824,-0.0137939,0.0605469,0.381897,0.922058
1485545686577350,-0.0141602,0.0603638,0.381836,0.922119
1485545686592352,-0.0145264,0.0602417,0.381836,0.922119
1485545686614868,-0.0142212,0.0604248,0.381836,0.922119
1485545686637384,-0.013855,0.0604858,0.381897,0.922058
1485545686651894,-0.013855,0.0604858,0.381897,0.922058
1485545686680913,-0.013855,0.0604858,0.381897,0.922058
1485545686697425,-0.013855,0.0604858,0.381897,0.922058
1485545686719941,-0.013855,0.0604858,0.381897,0.922058
1485545686740969,-0.013855,0.0604858,0.381897,0.922058
1485545686757480,-0.013855,0.0604858,0.381897,0.922058
1485545686779995,-0.013855,0.0604858,0.381897,0.922058
1485545686801028,-0.013855,0.0604858,0.381897,0.922058
1485545686817522,-0.013855,0.0605469,0.381897,0.922058
1485545686840025,-0.013855,0.0605469,0.381897,0.922058
1485545686861053,-0.0140991,0.0604858,0.381958,0.922058
1485545686877564,-0.0140991,0.0604858,0.381958,0.922058
1485545686900069,-0.0137329,0.0606689,0.381958,0.922058
1485545686921092,-0.0134277,0.060791,0.382019,0.921997
1485545686945141,-0.0132446,0.060791,0.382141,0.921997
1485545686960162,-0.0131226,0.0609741,0.382202,0.921936
1485545686981182,-0.0128174,0.0612183,0.382202,0.921936
1485545686997688,-0.0125732,0.0614014,0.382263,0.921875
1485545687020193,-0.0125122,0.0614624,0.382263,0.921875
1485545687042719,-0.0125122,0.0614624,0.382263,0.921875
1485545687057729,-0.0124512,0.0614624,0.382263,0.921875
1485545687079735,-0.0128174,0.0613403,0.382263,0.921875
1485545687102274,-0.0131836,0.0610962,0.382385,0.921875
1485545687117262,-0.0132446,0.0610352,0.382385,0.921875
1485545687139779,-0.0128174,0.0612793,0.382385,0.921814
1485545687162306,-0.0124512,0.0615234,0.382446,0.921814
1485545687176821,-0.012146,0.0617065,0.382446,0.921753
1485545687199833,-0.0117798,0.0618896,0.382507,0.921753
1485545687222336,-0.0116577,0.0620117,0.382507,0.921753
1485545687236856,-0.0115356,0.0621948,0.382446,0.921753
1485545687259874,-0.0111694,0.0625,0.382385,0.921753
1485545687282388,-0.010437,0.0628662,0.382324,0.921753
1485545687296900,-0.0101318,0.0631104,0.382385,0.921753
1485545687319920,-0.00976563,0.0634155,0.382446,0.921692
1485545687342434,-0.00939941,0.0635986,0.382507,0.921692
1485545687356941,-0.00952148,0.0635986,0.382629,0.921631
1485545687379957,-0.00982666,0.0634155,0.382751,0.92157
1485545687402464,-0.00982666,0.0634155,0.382751,0.92157
1485545687416974,-0.00982666,0.0634155,0.382751,0.92157
1485545687439990,-0.0100708,0.0632935,0.382874,0.921509
1485545687462506,-0.0100708,0.0632935,0.382874,0.921509
1485545687477015,-0.0100708,0.0632935,0.382874,0.921509
1485545687500033,-0.0100708,0.0632935,0.382874,0.92157
1485545687522548,-0.0101318,0.0632935,0.382874,0.92157
1485545687543601,-0.0098877,0.0634155,0.382813,0.92157
1485545687560122,-0.00958252,0.0635986,0.382813,0.92157
1485545687590142,-0.0090332,0.0639648,0.382813,0.921509
1485545687603652,-0.00897217,0.0639648,0.382813,0.921509
1485545687620164,-0.00915527,0.0639648,0.382874,0.921509
1485545687642695,-0.00939941,0.0637817,0.382935,0.921448
1485545687663694,-0.00970459,0.0636597,0.382996,0.921448
1485545687680197,-0.00976563,0.0636597,0.382996,0.921448
1485545687702713,-0.00933838,0.0637207,0.382996,0.921448
1485545687723727,-0.00964355,0.0634766,0.382996,0.921448
1485545687739739,-0.00994873,0.0633545,0.383057,0.921448
1485545687762264,-0.0100098,0.0633545,0.383057,0.921448
1485545687783310,-0.00994873,0.0634155,0.383118,0.921448
1485545687800321,-0.00964355,0.0635986,0.38324,0.921387
1485545687822337,-0.00921631,0.0639038,0.383301,0.921326
