timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1482546750044908,-6,4,-16,-7,8,1,0,0
1482546750044908,-8,-12,23,42,0,1,0,-3
1482546750045914,2,1,9,-33,-1,3,0,0
1482546750045914,2,1,-11,-1,-2,-1,-1,-1
1482546750045914,2,-2,-9,-14,-2,-3,0,0
1482546750045914,2,8,3,-1,-9,-4,-1,0
1482546750049913,1,-8,0,24,10,1,-1,-1
1482546750049913,-3,-1,0,-25,-10,-2,-2,-1
1482546750055930,-5,-9,-2,0,3,-1,-3,-1
1482546750055930,10,8,2,0,8,10,8,3
1482546750064955,-7,5,2,-1,-4,-3,-1,-2
1482546750064955,-14,2,18,7,2,2,-2,-5
1482546750072928,3,-13,-30,-3,-7,-2,-3,-1
1482546750072928,-12,-8,5,-9,-5,-5,-4,-3
1482546750086019,3,1,0,4,-1,-1,-2,0
1482546750086019,7,1,-14,3,14,3,2,1
1482546750097999,3,7,30,3,-1,-1,1,-2
1482546750097999,-3,0,-22,-4,0,-1,-1,-2
1482546750110031,0,-2,-10,-3,2,1,-1,0
1482546750110031,1,-5,6,1,-3,-5,-1,-1
1482546750118029,4,2,5,-2,-5,-1,-1,1
1482546750118029,2,13,2,-4,7,2,-1,1
1482546750130590,-9,-12,-21,14,-2,-3,0,-1
1482546750130590,5,-14,-10,-33,-15,3,0,0
1482546750172644,5,1,29,13,0,0,-1,0
1482546750172644,11,-4,-60,-4,1,-4,-1,1
1482546750177649,-1,2,12,8,6,3,2,2
1482546750177649,-7,-1,-3,-1,-1,0,-3,-3
1482546750177649,-5,0,3,-14,-7,-4,-1,0
1482546750177649,14,4,31,9,-4,-2,-2,-2
1482546750178647,0,-3,11,-1,-2,-2,0,0
1482546750178647,4,-1,-39,-8,-2,0,0,0
1482546750183653,-4,-2,11,10,6,2,2,0
1482546750183653,-4,4,-17,-8,2,4,1,0
1482546750192657,0,-13,-21,-8,-7,-6,-5,-4
1482546750192657,0,9,18,1,-4,-2,-3,-1
1482546750198714,4,-2,-8,-3,-3,-2,-3,-3
1482546750198714,-4,-3,19,1,1,2,1,-1
1482546750215244,2,4,-5,4,3,-1,1,1
1482546750215244,0,-3,3,-1,-4,-2,-1,-1
1482546750221271,-7,8,8,-1,2,1,-2,0
1482546750221271,-23,-22,-3,2,-2,-1,-1,-3
1482546750245285,9,9,6,-2,-1,-1,-1,2
1482546750245285,27,-12,6,0,4,-1,1,0
1482546750246286,-33,-1,4,0,2,-3,0,-2
1482546750246286,-4,4,10,-1,-3,-2,-1,-3
1482546750259349,-6,1,-21,-5,0,-2,-3,-2
1482546750259349,12,6,40,17,5,0,0,2
1482546750260348,-3,-9,-48,-33,-11,1,1,0
1482546750260348,-2,-1,-16,-1,-4,-3,-4,-1
1482546750281364,0,3,16,17,3,-2,-1,0
1482546750281364,-14,0,18,-13,-1,4,1,-3
1482546750282311,12,-7,-37,-3,2,-1,-2,-1
1482546750282311,5,5,-12,1,-3,-4,-3,1
1482546750304429,-2,3,-24,-12,-5,-3,-1,-3
1482546750304429,-7,11,32,11,-2,-4,-2,0
1482546750305455,1,0,-3,9,-3,-3,2,1
1482546750305455,7,-4,31,16,-5,-3,1,1
1482546750319459,19,9,5,-7,18,7,3,0
1482546750319459,-42,-13,-32,-7,-5,-2,0,-3
1482546750319459,-6,-6,23,5,-1,-2,-3,-2
1482546750319459,0,0,-8,-9,-2,-2,-2,-1
1482546750349690,-6,-2,22,7,-5,-2,-2,-2
1482546750349690,6,4,16,0,-1,0,0,1
1482546750350674,8,-4,-60,-14,-1,-1,1,0
1482546750350674,0,8,26,12,5,0,0,1
1482546750363700,0,-6,-5,-10,-4,-2,0,-1
1482546750363700,-10,-1,-14,15,-3,0,3,-3
