timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1482546550268225,5,0,-3,5,-5,-6,-5,-3
1482546550268225,0,2,4,0,-3,3,0,-1
1482546550269223,1,1,-4,4,2,-2,1,-1
1482546550269223,-1,2,0,-3,-7,4,2,0
1482546550269223,4,-1,2,2,6,2,0,1
1482546550269223,-1,1,1,4,3,-1,-1,-1
1482546550272225,-15,1,-10,-3,-8,-3,-3,-3
1482546550272225,-2,-10,7,-8,-14,-10,-5,-4
1482546550289230,-1,-6,9,-4,1,1,1,-1
1482546550289230,6,2,-18,-2,-6,-6,-3,-1
1482546550290230,4,5,9,6,13,2,0,1
1482546550290230,-8,-1,0,-12,0,-3,-1,0
1482546550298236,-7,-2,-2,-1,-20,-4,-4,-3
1482546550298236,-4,-4,3,21,13,4,3,0
1482546550311255,0,-2,0,-6,-7,1,2,1
1482546550311255,4,3,2,1,3,2,1,1
1482546550318285,0,1,3,-3,3,1,0,0
1482546550318285,-2,-3,-6,-5,-6,-6,-4,-2
1482546550332342,1,-2,-2,3,-5,-2,-3,-1
1482546550332342,-1,-2,-5,4,8,4,1,0
1482546550343420,-1,0,-3,0,2,1,2,1
1482546550343420,0,3,4,-6,-4,-3,-1,-2
1482546550355418,-1,0,-1,-3,2,5,-1,1
1482546550355418,-3,-5,-8,-10,-1,-6,-4,-1
1482546550396447,-1,2,-4,-1,6,3,3,0
1482546550396447,5,1,2,3,1,3,1,0
1482546550397452,-4,-1,-1,0,3,0,0,-2
1482546550397452,11,0,-4,-5,-4,-4,-5,0
1482546550400453,-3,-3,-1,3,-4,-4,-2,-3
1482546550400453,-9,4,3,5,4,6,1,2
1482546550401450,-4,-6,-19,-6,0,-1,-1,0
1482546550401450,-1,-4,16,-7,-5,-4,-4,-3
1482546550406461,1,1,-8,7,-2,-3,-1,0
1482546550406461,2,4,6,-6,-2,-3,-1,0
1482546550415461,15,1,-28,-2,-2,0,1,-1
1482546550415461,-19,-2,-5,10,4,2,1,-1
1482546550421988,-5,-8,-9,-1,-1,-1,-3,-1
1482546550421988,-2,-4,-11,-17,-3,-5,-4,-3
1482546550437619,1,2,2,1,-2,-5,-3,1
1482546550437619,6,2,2,9,0,3,2,1
1482546550444623,1,5,3,4,-2,-1,-1,1
1482546550444623,-1,-2,-7,-10,-2,-1,-2,-1
