timestamp,roll,pitch,yaw
1482545586721222,-0.434697,-0.118037,-1.45819
1482545586746241,-0.438142,-0.116746,-1.45992
1482545586761252,-0.439085,-0.116237,-1.46099
1482545586781265,-0.436203,-0.115478,-1.46105
1482545586806288,-0.428725,-0.113977,-1.46246
1482545586826302,-0.42573,-0.114289,-1.4625
1482545586841313,-0.420027,-0.117204,-1.46345
1482545586898380,-0.416485,-0.119628,-1.46464
1482545586899381,-0.414472,-0.123077,-1.46638
1482545586904139,-0.408821,-0.126324,-1.46771
1482545586926152,-0.399214,-0.12807,-1.46882
1482545586947154,-0.388392,-0.130744,-1.46956
1482545586998693,-0.382625,-0.134801,-1.46888
1482545587008713,-0.384791,-0.139467,-1.46645
1482545587009714,-0.386664,-0.146347,-1.46539
1482545587022736,-0.388831,-0.154403,-1.46406
1482545587043738,-0.393814,-0.164209,-1.46397
1482545587065767,-0.399467,-0.174122,-1.46412
1482545587082766,-0.400124,-0.184146,-1.46654
1482545587103286,-0.394672,-0.192871,-1.47034
1482545587126325,-0.385825,-0.20235,-1.47768
1482545587142335,-0.375168,-0.21255,-1.48486
1482545587163350,-0.356599,-0.224888,-1.49027
1482545587186366,-0.337488,-0.234805,-1.49179
1482545587202880,-0.331774,-0.244108,-1.48913
1482545587223896,-0.334336,-0.254079,-1.48124
1482545587245924,-0.328594,-0.261803,-1.46731
1482545587262936,-0.313694,-0.268745,-1.45113
1482545587283939,-0.298615,-0.272459,-1.43139
1482545587306000,-0.287522,-0.272817,-1.40961
1482545587324001,-0.285809,-0.274301,-1.38792
1482545587347016,-0.289604,-0.277829,-1.36576
1482545587366030,-0.291495,-0.282518,-1.34118
1482545587384042,-0.291013,-0.285111,-1.31616
1482545587404058,-0.293444,-0.28653,-1.29181
1482545587426075,-0.302636,-0.288457,-1.26723
1482545587444088,-0.312389,-0.290074,-1.24142
1482545587464103,-0.318239,-0.290534,-1.21586
1482545587486118,-0.323953,-0.289349,-1.19063
1482545587504133,-0.33105,-0.286243,-1.16387
1482545587523147,-0.334273,-0.2828,-1.13812
1482545587546164,-0.332736,-0.277751,-1.11634
1482545587564177,-0.333027,-0.271664,-1.09822
1482545587583203,-0.339646,-0.267797,-1.08412
1482545587606238,-0.348833,-0.265321,-1.0724
1482545587624261,-0.35435,-0.262125,-1.06181
1482545587643264,-0.357776,-0.258397,-1.0514
1482545587666293,-0.361452,-0.254802,-1.04259
1482545587684306,-0.368604,-0.252428,-1.03746
1482545587706337,-0.378406,-0.251216,-1.03481
1482545587726338,-0.387472,-0.249416,-1.0321
1482545587744352,-0.388436,-0.247148,-1.03106
1482545587763364,-0.386665,-0.244548,-1.02995
