timestamp,x,y,z
1482546947200444,-3.8125,-1.5625,-1.1875
1482546947222474,-5.6875,-2.1875,-1.3125
1482546947248184,-14.4375,-6.75,-2.6875
1482546947261182,-11.3125,-8.6875,-5.9375
1482546947283215,-1.25,-7.5625,-3.6875
1482546947306224,3.875,-6.875,-2.4375
1482546947351425,-2.625,-5.6875,-1.5
1482546947360419,-1.875,-6.5625,-2.0625
1482546947363418,4.8125,-5.625,-1.3125
1482546947382520,3.125,-3.75,-1.25
1482546947397496,-4.125,-3.0625,-3.75
1482546947417510,1.125,-2.5,-3.5
1482546947441573,4.9375,-2,-2.25
1482546947487689,7.625,-1.9375,-3.625
1482546947488636,6.875,-1.9375,-3.4375
1482546947500679,9.375,-0.375,-5.8125
1482546947523661,9.5,1.875,-6.375
1482546947538709,11.1875,2.75,-5.9375
1482546947562832,15.3125,5.3125,-4.3125
1482546947583871,16.8125,3.4375,-5.1875
1482546947599860,15.125,0.375,-10.0625
1482546947622861,16.625,2.25,-7.4375
1482546947643527,21.1875,-0.5,-13.0625
1482546947660134,19.4375,-1.6875,-5.25
1482546947682141,15.6875,-0.5625,-6
1482546947705165,0.4375,-1.25,-6.9375
1482546947719193,-2.5625,-5,-12.1875
1482546947742792,8.0625,-8.4375,-16.9375
1482546947763453,12.875,-13.375,-14.9375
1482546947786464,26.625,-20.0625,-14.5
1482546947802575,21.375,-25.5625,-11.1875
1482546947824565,-0.5625,-32.6875,-19
1482546947839645,-0.5,-32.25,-23.75
1482546947862468,2.3125,-20.875,-26.4375
1482546947884526,3.75,-11.3125,-28.5625
1482546947899470,-3.5,-7.1875,-31.0625
1482546947922514,-41.6875,-11.6875,-27.4375
1482546947945070,-71.375,-12.3125,-20.375
1482546947958737,-83.375,-2.5625,-6.125
1482546947982779,-75.1875,3.875,4.1875
1482546948012780,-41.5,-4.3125,15.1875
1482546948025808,-13.6875,-9.1875,48.625
1482546948042855,21.875,-9.8125,80.8125
1482546948065384,10.5,-7.6875,98.0625
1482546948085490,-8.0625,-3.625,108.5
1482546948102572,-25.9375,-6.25,118.438
1482546948124592,-9.25,-6,123.625
1482546948146212,20.5,-3,128
1482546948162226,47.5,-4.3125,129.125
1482546948185253,49.3125,-9.9375,129.125
1482546948206256,34.5625,-9.5625,128.063
1482546948222268,22.1875,-4.1875,131.125
1482546948244797,20.9375,2.5,128.125
1482546948266191,20.4375,9.625,118.5
1482546948282198,11.9375,14.625,109
1482546948305219,4.8125,15.75,94.75
1482546948326244,7.3125,12.5,79.875
1482546948342814,9.625,10.25,66.25
1482546948364935,12.625,6.9375,52.25
1482546948386152,5.8125,8.0625,33.25
1482546948402240,-5.1875,9.8125,15.1875
1482546948425294,-6.5,5.5625,4.25
1482546948446346,-2.1875,-2.625,-9.875
1482546948469971,-9.9375,-15.125,-15.125
1482546948483983,-0.5,-14.1875,-12.4375
1482546948507027,4.4375,-9.875,-6.375
1482546948530015,11.125,-14.8125,-2.5
1482546948544571,8.5,-23.125,-10.3125
1482546948567363,-4.5625,-19.4375,-11.6875
1482546948590381,-19.0625,-13.9375,-14.625
1482546948611396,-17.9375,-4.1875,-20.8125
1482546948627407,-10.25,8.6875,-19.125
1482546948649443,-15.8125,6.4375,-15.6875
1482546948670566,-18.3125,8.8125,-3.3125
1482546948687553,-12.9375,7.8125,6.5625
1482546948709569,-16,6.3125,9.1875
1482546948730607,-9,8.875,3.875
1482546948747612,2.75,9.1875,-3.0625
1482546948770131,-3,10.5,-11.9375
1482546948791198,-23.0625,8.875,-5.9375
1482546948807171,-33.5,9.375,0.0625
1482546948830194,-20.8125,13.125,1.625
1482546948850902,-8.6875,17.125,0.3125
1482546948866913,-6.4375,21.9375,-2.5625
1482546948889914,-12.6875,21.75,-1.875
1482546948910991,-20.75,21.625,0.75
1482546948926995,-20.375,23.75,-2.9375
1482546948950022,-16.9375,31,-4.9375
1482546948971219,-10.75,37.625,-8.6875
1482546948987225,26.9375,28.6875,-9
1482546949010266,15.625,21.75,-18.3125
1482546949031306,2.5625,40.1875,-10.1875
1482546949047830,-4.625,45.25,-18.5625
1482546949071464,-3.75,45.8125,-21.3125
1482546949090490,2.125,56.8125,-20.9375
1482546949107562,3.5,66.1875,-23.625
1482546949129590,-0.4375,66.875,-29.375
1482546949150653,-15.5,66.375,-31.375
1482546949166826,-33.4375,77.75,-29
1482546949189840,-45.5625,74,-23.5625
1482546949210884,-49.9375,54.125,-17
1482546949226853,-40.5625,38.1875,-4.9375
1482546949250390,-21.3125,29.4375,0.4375
1482546949272247,-9.875,25.125,5.5625
1482546949295292,1.75,14.0625,13.9375
1482546949310304,-0.6875,0.375,20.375
1482546949332292,-7,-10.375,26
1482546949346815,-0.4375,-20.9375,31.75
1482546949369926,11.5,-28,31.5625
1482546949391993,18.625,-29.4375,30.375
1482546949406960,18,-29.0625,31.75
1482546949429968,18.125,-28.375,35.125
1482546949452129,19.9375,-27.9375,35.8125
1482546949467155,17.625,-30.125,34.8125
1482546949490158,15.625,-24.25,30.125
1482546949512159,25.5,-33.1875,31.3125
1482546949533187,41,-43.75,27.8125
1482546949550250,47.625,-53.4375,29
1482546949572449,47.625,-47.5,27.625
1482546949593527,50.875,-37.6875,25.6875
1482546949609522,36.625,-29.3125,16.375
1482546949632515,24.6875,-11.5,7.125
1482546949653263,4.3125,1.125,5.125
1482546949671272,-2.25,4.3125,-4.1875
1482546949692286,-20.0625,-0.4375,-11.75
1482546949713297,-26.625,-7.6875,-13.3125
1482546949730326,-16,-9.375,-19.25
1482546949752462,-2.6875,-0.875,-22.25
1482546949773491,-14.0625,-0.25,-23.375
1482546949795507,-28.9375,-0.25,-15.25
1482546949812505,-20.0625,3.6875,-8.625
1482546949833534,-4,8.125,-8.0625
1482546949850051,16.6875,16.75,-12.125
1482546949872698,16.625,16.9375,-19.1875
1482546949893721,-1.875,2.875,-25.5
1482546949909729,-24.9375,-2.5625,-24.1875
1482546949932743,-13.6875,-0.125,-18.75
1482546949953889,2.5,4.6875,-18
1482546949969904,14.125,11.5,-18.0625
1482546949991916,13,12.625,-10.75
1482546950013950,0.8125,9.4375,-5.9375
1482546950029958,-7,9.75,-9.8125
1482546950060140,-12.5,13.8125,-9.5625
1482546950076160,-17.6875,16.1875,-17.9375
1482546950089242,-22,10.125,-26.5625
1482546950112262,-9,5.875,-31.0625
1482546950133337,6.5,-0.3125,-42.625
1482546950149364,2,-3.125,-55.4375
1482546950172465,-12.3125,-20.25,-69.75
1482546950194508,-15.8125,-51.625,-72.4375
1482546950209514,-4.5,-68.9375,-57.5625
1482546950232508,31.0625,-65.25,-44.25
1482546950254694,51.0625,-57.3125,-36.375
1482546950269715,41.5625,-49.375,-26.5625
1482546950292735,27.6875,-45.9375,-20.9375
1482546950314733,16.875,-35.5,-10.625
1482546950329757,19.4375,-26.4375,-5
1482546950353996,24.375,-25.1875,-5.3125
1482546950375079,27.5,-15.1875,9.5625
1482546950389105,7.875,-5.4375,24.9375
1482546950412124,-5.625,2.5625,38.375
1482546950435120,-8,10.75,52.4375
1482546950449669,1.1875,20.625,67.375
1482546950474320,-4.1875,22.3125,84.25
1482546950495337,-5.8125,17.625,101.875
1482546950516339,3.875,13,115.688
1482546950532359,19.0625,5.5,125.25
1482546950554485,20.375,2.125,128.688
1482546950575501,17.375,1.375,125.5
1482546950592500,16.5625,-2.875,121.563
1482546950614524,25.375,-3.125,117.75
1482546950635655,37.625,0.625,110.563
1482546950652655,32.8125,-3.5625,84.6875
1482546950674808,4.9375,-0.1875,71.625
1482546950695844,-24.3125,15.4375,63.9375
1482546950712849,-21.25,9.4375,56.875
1482546950734850,-15,-8.3125,54.9375
1482546950755695,8.1875,-18.1875,55.0625
1482546950772764,32.3125,-15.8125,47.125
1482546950794771,45.5,-2.6875,41.0625
1482546950815806,44.4375,-3.375,29.25
1482546950831985,17.375,-17.875,26.3125
1482546950854634,-13.875,18.4375,28.5
1482546950875666,18.875,22.5625,3.5625
1482546950892759,39.9375,14.5,-4.9375
1482546950914774,14.4375,-11.1875,-0.4375
1482546950938799,-22.3125,-20.25,0.4375
1482546950958892,-15.625,-18.625,-10.75
1482546950974934,7.25,-16.0625,-12.75
1482546950995975,5.75,-16.1875,-14.8125
1482546951011933,-11.8125,-11.9375,-20.3125
1482546951034976,-26.5,-7.0625,-28.1875
1482546951056129,-30,-7.875,-24.5
1482546951072123,-16.625,-13.875,-27.0625
1482546951095141,-8.8125,2.6875,-25.625
1482546951116209,-13.125,4.5,-19.25
1482546951140347,-10.5,3.875,-26.25
1482546951154875,-11.375,4.0625,-25.75
1482546951176903,-21.3125,3.375,-27.625
1482546951191906,-20.75,13.8125,-26.6875
1482546951214917,-19.0625,22.9375,-31.3125
