timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1482546947921549,-1,2,-7,3,-5,-6,-2,-2
1482546947923510,0,2,-2,-3,11,3,0,-1
1482546947923510,0,5,1,-5,-4,6,5,2
1482546947944585,-3,-1,5,8,-3,2,2,1
1482546947944585,-2,-2,-3,-12,1,2,-2,0
1482546947946088,2,2,-24,-5,-5,-2,-1,-1
1482546947946088,-3,-2,34,-10,-4,-3,-5,-3
1482546947958737,0,-1,1,13,-2,-4,-2,0
1482546947958737,2,1,9,-2,-1,-2,-1,-1
1482546947965768,-3,-10,-32,11,-6,-4,-1,-3
1482546947965768,1,1,-11,9,-3,-5,-3,-1
1482546947981817,1,5,20,-9,-2,-6,-3,0
1482546947981817,-3,-10,-38,-7,2,7,-1,-3
1482546947982779,0,3,32,12,7,8,3,2
1482546947982779,0,-1,-10,8,0,1,-1,0
1482546948011798,-5,-4,-6,-11,5,2,3,-2
1482546948011798,2,3,3,3,-1,-2,0,-1
1482546948012780,-1,2,12,-11,-3,-4,-3,-1
1482546948012780,-1,-3,-25,6,-5,-3,0,-3
1482546948017778,2,8,8,-15,-2,-1,-1,-1
1482546948017778,-1,-4,0,-1,-3,-5,1,0
1482546948026785,0,2,1,-14,-2,1,-1,-1
1482546948026785,-1,-3,6,7,-2,-4,-4,-3
1482546948041859,1,-3,-8,12,4,2,-1,0
1482546948041859,-4,-3,-2,-39,-5,-2,0,-2
1482546948043344,1,3,-5,-2,6,0,-1,-1
1482546948043344,-1,-3,-21,-6,1,-1,-1,0
1482546948064388,-2,-13,-18,4,1,1,0,-3
1482546948064388,-3,0,29,-10,-11,-8,-5,-4
1482546948065384,-5,-2,-10,-10,-2,-2,-3,-1
1482546948065384,1,4,3,10,8,3,2,1
1482546948077399,2,0,-5,-2,2,6,2,-1
1482546948077399,-1,1,-3,5,2,-3,-1,2
1482546948086455,-2,-5,0,-3,-7,-4,-2,-2
1482546948086455,-1,2,-6,2,-1,-3,-1,-1
1482546948101621,13,6,-19,-29,-2,1,2,1
1482546948101621,-5,-4,40,38,2,1,0,-1
1482546948103621,-2,-4,-14,-42,-5,-3,-1,1
1482546948103621,-2,4,9,5,-2,1,-2,1
1482546948124592,-4,-5,-17,1,3,-3,-3,-1
1482546948124592,2,0,-16,9,-9,-1,-3,-1
1482546948125592,-3,-1,-4,4,2,0,0,-2
1482546948125592,-1,1,11,-18,2,0,-1,-2
1482546948138207,-2,4,101,-1,-2,0,-1,0
1482546948138207,-2,-11,-68,-12,-2,-4,-2,-4
1482546948146713,-3,0,22,5,-1,-1,-1,-1
1482546948146713,-1,1,18,-7,-2,-1,0,-2
1482546948161236,-1,-1,-31,23,1,0,-1,0
1482546948161236,4,6,3,-9,9,5,1,1
1482546948163226,1,3,16,24,-11,-6,-3,-1
1482546948163226,0,-2,-23,-10,0,1,3,-1
1482546948184253,-7,-6,6,2,-2,-2,-3,-8
1482546948184253,10,4,-7,-8,5,5,2,8
1482546948185253,-14,0,-25,-6,0,0,2,-4
1482546948185253,-1,-3,43,3,-2,-1,0,-3
1482546948197250,2,-1,-15,-4,-3,-4,-2,2
1482546948197250,-20,-9,-3,-5,-10,-2,9,-8
1482546948206256,8,2,3,22,4,-4,-16,0
1482546948206256,-9,-3,-8,25,-7,-4,-31,-30
1482546948221267,-1,-6,-9,-18,-3,-4,5,38
1482546948221267,7,6,26,-29,2,-1,-10,-41
1482546948223268,5,1,5,8,2,6,7,2
1482546948223268,-2,-8,-54,-13,0,0,20,9
1482546948244284,8,4,31,1,0,2,-8,-16
1482546948244284,-11,1,-27,23,1,-2,0,4
1482546948245787,0,-12,-16,-39,-6,-5,4,11
1482546948245787,3,1,-1,-8,-2,-1,-1,-3
1482546948257120,-7,-7,14,4,1,1,4,1
1482546948257120,4,7,26,2,-1,-1,2,10
1482546948267192,4,7,-13,3,3,2,1,-8
1482546948267192,0,0,6,-10,0,0,-2,12
1482546948281203,-10,3,-15,-17,-4,-4,-4,-3
1482546948281203,-4,-25,-5,6,1,-1,-3,-5
1482546948283198,-18,-8,18,7,0,0,1,2
1482546948283198,3,-6,-30,0,-3,0,0,-14
1482546948304218,3,-2,3,1,0,-1,1,-9
1482546948304218,8,5,-22,-1,-1,-1,1,30
1482546948305219,3,0,30,0,-4,-5,1,21
1482546948305219,-1,-1,13,9,4,1,-1,-49
1482546948318240,-6,9,12,-1,1,1,3,-10
1482546948318240,-5,-12,-25,7,0,-1,-5,-1
1482546948326244,-5,-26,-74,-26,-6,-2,-6,-7
1482546948326244,0,7,31,30,-3,-3,-2,15
1482546948341817,-1,-3,-44,-12,-3,-1,-5,-6
1482546948341817,0,9,0,9,-2,-2,0,1
1482546948343313,5,12,27,9,2,0,2,-1
1482546948343313,0,-6,-7,-3,5,2,2,11
1482546948363991,-2,-5,-4,1,-3,-3,-1,-3
1482546948363991,6,12,28,-3,0,3,3,6
1482546948365956,-4,4,-19,6,-6,-4,-3,-10
1482546948365956,3,-2,23,7,-1,3,1,10
1482546948378151,-2,2,-1,-7,-7,-1,0,2
1482546948378151,4,-6,-3,2,1,-3,-5,-5
1482546948387087,-1,-3,1,-2,0,3,2,-2
1482546948387087,1,9,36,0,-3,-6,-3,6
1482546948401301,6,-11,-15,-3,-4,-2,0,3
1482546948401301,-9,9,-12,1,-1,-2,-3,-4
1482546948403264,-17,-13,10,6,4,1,-1,-6
1482546948403264,-8,-7,-15,-2,0,-4,-2,5
1482546948424321,-5,2,1,10,1,0,-2,-3
1482546948424321,-4,8,40,-3,-7,0,1,0
1482546948425294,12,9,-35,11,18,5,-2,-1
1482546948425294,1,3,-17,-16,-6,2,2,7
1482546948437849,-2,-1,-3,0,0,-3,-1,-3
1482546948437849,7,-1,-2,2,-3,-2,-2,-2
1482546948446840,1,5,19,-1,-4,-1,1,-1
1482546948446840,2,0,0,-7,0,-1,-2,7
1482546948469012,2,5,-7,11,2,3,-1,-2
1482546948469012,-3,-4,15,-4,-3,-1,1,1
1482546948470951,1,-2,11,15,-6,-1,-1,-1
1482546948470951,-3,-5,-25,-51,-1,-2,-4,1
1482546948482961,6,0,10,-4,1,-2,0,2
1482546948482961,-8,-16,-10,1,-4,-4,-5,-9
1482546948490025,-2,-5,2,36,7,-1,1,-3
1482546948490025,4,4,24,-16,1,2,1,2
1482546948507027,0,7,-24,3,-2,0,0,0
1482546948507027,1,-6,-2,-12,3,0,0,-1
1482546948507977,1,-4,1,3,-6,-3,-3,-3
1482546948507977,-2,0,-6,17,-1,-2,0,-1
1482546948529053,-5,-2,12,-8,2,-2,-4,-2
1482546948529053,0,7,11,32,0,2,1,1
1482546948531013,5,5,-14,-33,0,0,2,0
1482546948531013,2,10,31,4,2,1,0,1
1482546948543585,-6,-18,-5,1,-6,-4,-3,-2
1482546948543585,-2,2,-28,17,5,1,0,-2
1482546948550356,1,3,20,-4,-4,-4,-1,1
1482546948550356,-1,10,17,-2,-3,-1,-2,-2
1482546948566368,0,-12,-8,15,5,2,2,0
1482546948566368,-2,-5,-11,-24,5,-2,-1,0
1482546948568355,4,3,-15,7,-3,1,2,1
1482546948568355,-5,-7,-6,-15,-6,-3,-2,-1
1482546948589383,-1,2,6,-13,-1,-3,-3,-1
1482546948589383,2,-3,-13,-5,-1,-2,1,1
1482546948590381,0,-3,5,1,0,-1,-1,-2
1482546948590381,-1,0,-6,24,3,1,1,0
1482546948602394,1,6,5,-5,-2,5,0,-6
1482546948602394,0,4,6,-8,2,3,3,0
1482546948611396,-2,-4,7,-7,-9,-5,-5,-3
1482546948611396,0,-7,-5,9,-5,-2,-1,-1
1482546948626414,1,2,-14,6,0,-3,-2,0
1482546948626414,1,0,0,-37,-9,-2,-2,0
1482546948628398,0,2,18,0,1,-3,0,-1
1482546948628398,-5,-8,-21,6,2,6,4,2
1482546948649443,-2,-1,-8,-4,1,-1,1,1
1482546948649443,-1,4,4,5,0,-1,-1,-2
1482546948650548,1,5,15,-3,-3,2,0,2
1482546948650548,-1,-10,-2,2,-2,-5,-3,-2
1482546948662598,-1,-1,-19,-7,2,-4,-3,-4
1482546948662598,-9,-5,8,9,-3,-1,-2,-4
1482546948671542,0,0,-16,-23,-3,-3,1,-1
1482546948671542,1,1,11,3,3,1,2,0
1482546948686617,1,2,-2,2,-1,4,3,2
1482546948686617,3,1,-1,12,-1,-3,0,3
1482546948688557,-3,-3,-8,-7,-2,-2,-2,-2
1482546948688557,-1,1,-4,1,-3,-1,-1,-1
1482546948708592,-1,1,7,-4,-1,0,-1,-1
1482546948708592,-1,0,-6,-8,-1,0,-1,-1
1482546948710593,5,7,29,11,1,2,2,2
1482546948710593,-12,-39,-53,-12,-7,-7,-4,-5
1482546948722591,-2,-1,-14,-5,-2,-2,-1,0
1482546948722591,0,2,4,-4,-1,-1,-1,-1
1482546948731608,-1,-3,-7,-8,-1,0,-1,-2
1482546948731608,2,7,-2,-1,1,-2,-2,0
1482546948746611,-1,-1,10,17,-7,-6,-5,0
1482546948746611,1,-1,10,3,15,13,7,4
1482546948748114,-1,-1,0,27,5,4,1,-2
1482546948748114,2,6,-4,-9,3,0,-2,0
1482546948769131,-2,-2,1,-10,-6,-4,-2,-2
1482546948769131,2,3,11,3,-11,-9,-8,-4
1482546948770131,-2,-5,-19,7,-2,-3,-3,0
1482546948770131,2,7,5,9,1,2,4,-1
1482546948782192,-2,5,5,-8,-2,-2,-2,-1
1482546948782192,-1,-13,-4,2,0,0,0,-2
1482546948792162,-4,-8,0,-12,-3,-1,-3,-3
1482546948792162,-2,-1,8,3,-6,-4,-2,-1
1482546948806171,1,2,12,-7,0,0,1,-1
1482546948806171,0,2,-18,-9,-4,-5,-1,1
1482546948808172,-3,-3,-20,-2,-1,-1,-3,-2
1482546948808172,0,3,3,4,3,0,-1,0
1482546948829233,-1,-1,16,10,2,4,2,-1
1482546948829233,0,-1,8,3,-4,1,0,-1
1482546948830194,2,3,1,-4,-6,-2,0,-2
1482546948830194,0,2,-2,10,-1,-2,-2,-1
1482546948843260,-1,-3,-20,-34,-2,5,2,2
1482546948843260,2,10,29,1,-4,-2,-2,-2
1482546948851885,-3,-10,-17,-9,-3,0,-1,-2
1482546948851885,-1,-2,-5,6,0,-2,-1,-1
1482546948866913,0,15,42,-7,-11,-9,-5,-3
1482546948866913,-3,-13,-36,5,21,17,6,3
1482546948867909,1,3,12,1,9,2,1,1
1482546948867909,-1,4,-17,-5,-2,3,1,2
1482546948888950,-9,-11,14,-26,-13,-9,-5,-6
