timestamp,x,y,z,w
1482546947200444,-0.0421753,-0.083374,0.865967,0.491211
1482546947222474,-0.0422363,-0.0843506,0.865784,0.491333
1482546947248184,-0.0422363,-0.086731,0.865417,0.491577
1482546947261182,-0.0415039,-0.0891724,0.864807,0.492249
1482546947283215,-0.0404053,-0.090271,0.864502,0.492676
1482546947306224,-0.0390625,-0.0900879,0.864441,0.492981
1482546947351425,-0.0384521,-0.0906982,0.864319,0.493042
1482546947360419,-0.0377197,-0.0919189,0.864136,0.493225
1482546947363418,-0.036377,-0.0917358,0.864136,0.493408
1482546947382520,-0.0352783,-0.0913696,0.864136,0.49353
1482546947397496,-0.0348511,-0.0924072,0.86377,0.49408
1482546947417510,-0.0346069,-0.0928345,0.863464,0.494507
1482546947441573,-0.0342407,-0.0922241,0.863403,0.494812
1482546947487689,-0.0335693,-0.0911865,0.86322,0.495361
1482546947488636,-0.0327148,-0.09021,0.863037,0.49585
1482546947500679,-0.0318604,-0.0891113,0.862671,0.496765
1482546947523661,-0.031189,-0.0879517,0.862244,0.497803
1482546947538709,-0.0303955,-0.0861816,0.861816,0.498779
1482546947562832,-0.0299072,-0.0834961,0.861694,0.499573
1482546947583871,-0.0289917,-0.0804443,0.86145,0.500488
1482546947599860,-0.0272217,-0.078064,0.860779,0.502136
1482546947622861,-0.0258789,-0.0758057,0.860352,0.503357
1482546947643527,-0.024231,-0.072937,0.859436,0.50531
1482546947660134,-0.0216064,-0.0700684,0.859253,0.506226
1482546947682141,-0.0193481,-0.0668945,0.858948,0.507263
1482546947705165,-0.019104,-0.0664673,0.858398,0.50824
1482546947719193,-0.019104,-0.0678711,0.857239,0.509949
1482546947742792,-0.0172119,-0.0689087,0.855774,0.512329
1482546947763453,-0.0143433,-0.069397,0.854553,0.514404
1482546947786464,-0.00854492,-0.0662231,0.853699,0.516418
1482546947802575,-0.00280762,-0.0640259,0.853027,0.517822
1482546947824565,0.00231934,-0.0670776,0.851318,0.520264
1482546947839645,0.00769043,-0.0714722,0.848999,0.523376
1482546947862468,0.0116577,-0.0748901,0.846436,0.526978
1482546947884526,0.0139771,-0.0761719,0.843811,0.530945
1482546947899470,0.0147705,-0.0767822,0.840881,0.535461
1482546947922514,0.0134888,-0.0826416,0.837769,0.53949
1482546947945070,0.00958252,-0.0925903,0.834778,0.542542
1482546947958737,0.00299072,-0.104614,0.832764,0.543579
1482546947982779,-0.0055542,-0.116699,0.831604,0.542847
1482546948012780,-0.0105591,-0.124634,0.832092,0.540283
1482546948025808,-0.0124512,-0.130249,0.836121,0.532715
1482546948042855,-0.0123901,-0.129578,0.843933,0.520386
