timestamp,x,y,z,w
1482546550084480,-0.067627,-0.238647,0.885925,0.391785
1482546550099478,-0.0679321,-0.240662,0.885681,0.391174
1482546550123497,-0.0697021,-0.242554,0.88501,0.391113
1482546550144532,-0.0702515,-0.243958,0.884338,0.391663
1482546550159565,-0.0687256,-0.24231,0.88446,0.392761
1482546550183594,-0.0665283,-0.238831,0.885132,0.393677
1482546550204573,-0.0647583,-0.237427,0.885376,0.394348
1482546550219572,-0.0629883,-0.236511,0.88562,0.394592
1482546550259216,-0.0606689,-0.23407,0.886108,0.395264
1482546550267224,-0.0574341,-0.229919,0.886719,0.396851
1482546550288279,-0.0529175,-0.2229,0.888184,0.398254
1482546550296241,-0.0498047,-0.214233,0.890381,0.398499
1482546550318285,-0.0480347,-0.206726,0.892944,0.396973
1482546550341411,-0.0457764,-0.197815,0.896057,0.394653
1482546550394452,-0.0419312,-0.187134,0.899902,0.391602
1482546550395446,-0.0390625,-0.176819,0.903748,0.387817
1482546550402443,-0.0368042,-0.164917,0.90802,0.383301
1482546550415461,-0.0341797,-0.15155,0.913757,0.375305
1482546550438604,-0.0354004,-0.14502,0.919128,0.364441
1482546550468638,-0.0372925,-0.140503,0.924133,0.35321
1482546550489655,-0.0395508,-0.137817,0.929077,0.340942
1482546550506654,-0.0421753,-0.141479,0.9328,0.328613
1482546550529308,-0.0490723,-0.150879,0.935852,0.314575
1482546550550347,-0.0595093,-0.168396,0.937866,0.297485
1482546550566340,-0.0714111,-0.191101,0.938599,0.278259
1482546550589373,-0.0806274,-0.203003,0.940125,0.261536
1482546550610389,-0.0847778,-0.202087,0.94397,0.246582
1482546550626918,-0.0863647,-0.197632,0.947998,0.234009
1482546550649166,-0.086731,-0.192749,0.951416,0.223877
1482546550670220,-0.0870361,-0.186523,0.95459,0.215332
1482546550686192,-0.0875854,-0.180603,0.957275,0.208069
1482546550709192,-0.0889893,-0.17865,0.958862,0.201599
1482546550730237,-0.0910645,-0.180481,0.959595,0.195679
1482546550746334,-0.09375,-0.180603,0.960205,0.191223
1482546550769349,-0.0963135,-0.175964,0.961182,0.189209
1482546550790380,-0.0987549,-0.1698,0.962036,0.189209
1482546550806376,-0.101624,-0.166016,0.962158,0.190613
1482546550829426,-0.10553,-0.16626,0.961426,0.192017
1482546550850541,-0.110474,-0.169861,0.9599,0.193726
1482546550866538,-0.115601,-0.173706,0.958008,0.196655
1482546550888562,-0.120483,-0.176025,0.956299,0.199829
1482546550910597,-0.123901,-0.177368,0.954895,0.203125
1482546550927118,-0.126221,-0.178345,0.953918,0.205627
1482546550948714,-0.127563,-0.177673,0.953308,0.20813
1482546550969732,-0.126465,-0.175171,0.953369,0.21051
1482546550985727,-0.122925,-0.173401,0.953735,0.212524
1482546551008862,-0.118042,-0.170227,0.954712,0.213501
1482546551031942,-0.112122,-0.163757,0.956665,0.213013
1482546551045868,-0.104858,-0.154968,0.959229,0.211792
1482546551068899,-0.0957031,-0.146667,0.961792,0.210205
1482546551091908,-0.0858154,-0.138855,0.964233,0.208679
1482546551105911,-0.0765381,-0.130127,0.966675,0.206482
1482546551129448,-0.0692749,-0.120056,0.969299,0.203003
1482546551151982,-0.0631714,-0.108337,0.972046,0.198364
1482546551165987,-0.0568848,-0.0980835,0.974609,0.192993
1482546551189001,-0.0504761,-0.0904541,0.976563,0.188416
1482546551212008,-0.0430908,-0.0838013,0.978088,0.185547
1482546551226020,-0.0341187,-0.0775757,0.979187,0.184265
1482546551248722,-0.0252686,-0.0734253,0.979919,0.183289
1482546551272755,-0.0164795,-0.0701904,0.98053,0.182617
1482546551285747,-0.00787354,-0.065918,0.981018,0.182068
1482546551308763,-0.000732422,-0.0604248,0.981506,0.18158
