timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1482545586900379,4,-6,-1,6,6,3,-4,6
1482545586900379,1,2,-1,8,0,1,0,-1
1482545586900879,-1,9,1,-9,-7,-3,0,0
1482545586900879,-3,-10,4,2,6,1,-1,-5
1482545586902881,-1,2,-15,-1,1,1,2,-4
1482545586902881,-6,-7,4,7,-7,-7,-4,-2
1482545586902881,-2,2,9,2,4,2,0,1
1482545586902881,7,-14,-28,4,2,1,0,-1
1482545586911140,-1,12,8,-15,-8,-3,0,-4
1482545586911140,6,1,10,-9,-1,0,1,5
1482545586916142,-7,-11,-13,8,1,-1,-4,-10
1482545586916142,2,9,7,-4,-1,0,0,6
1482545586931153,-4,-1,6,2,-4,-3,-1,2
1482545586931153,-1,-9,-7,-12,4,1,-1,-4
1482545586941167,7,6,17,6,-3,0,-1,1
1482545586941167,-5,1,-20,-4,0,0,2,3
1482545586948173,-5,0,65,12,-2,-2,-2,-3
1482545586948173,1,-9,-16,0,1,-1,-2,-2
1482545586970183,0,4,-8,-30,2,2,3,5
1482545586970183,-3,-3,17,13,-3,-1,-1,-3
1482545587010716,5,11,27,-26,-12,-4,0,12
1482545587010716,-12,-7,-31,0,4,-2,-2,-7
1482545587011717,10,-9,13,0,2,4,1,5
1482545587011717,-10,6,-10,-37,-6,-2,-1,-8
1482545587013730,-4,-9,15,53,1,-1,-1,-2
1482545587013730,5,-3,-15,-63,2,0,0,-1
1482545587014731,-6,2,29,18,-14,-7,-3,8
1482545587014731,-3,-1,-14,-22,-4,-2,-2,-30
1482545587021735,1,-7,-7,-20,9,4,0,-2
1482545587021735,-1,-3,14,24,-5,-4,-4,1
1482545587028740,0,12,-31,-30,4,3,3,3
1482545587028740,2,-7,37,28,-4,-3,-1,10
1482545587035745,-3,-1,-10,3,-1,0,-1,-4
1482545587035745,-2,4,15,-3,-4,-3,-1,1
1482545587050760,0,-2,-20,-26,-1,-1,0,0
1482545587050760,2,-4,-12,11,4,0,-1,3
1482545587058766,1,8,-5,-8,-1,-2,-2,-2
1482545587058766,-4,-1,3,1,-15,-8,-3,-3
1482545587073759,1,-2,-2,6,15,12,-3,-4
1482545587073759,-2,6,7,2,4,-6,1,4
1482545587081765,-6,-1,-8,-9,-6,-1,0,0
1482545587081765,5,0,-7,-10,-1,2,0,1
1482545587097279,0,-2,1,-9,21,7,-1,-4
1482545587097279,0,-1,-2,60,-60,-18,-5,0
1482545587097779,-4,-11,-4,-54,28,8,-2,-6
1482545587097779,1,16,64,16,21,7,7,6
1482545587119320,-6,-5,-33,22,-5,-7,-1,-5
1482545587119320,1,2,-21,-7,10,7,2,8
1482545587120334,2,-1,26,-24,-18,-11,-5,-3
1482545587120334,0,-1,-18,13,-14,-4,-5,-4
1482545587133328,-1,-1,27,9,-4,-3,1,-4
1482545587133328,1,-4,1,-43,2,-1,-1,2
1482545587141334,0,3,4,32,-3,2,1,-1
1482545587141334,1,1,-10,-21,6,7,4,2
1482545587156345,-1,0,3,17,-4,-7,-4,0
1482545587156345,3,-4,2,-17,-17,-5,-3,0
1482545587157350,-4,-12,-35,26,18,-5,-1,-3
1482545587157350,-4,5,-41,20,57,22,9,8
1482545587179361,-1,-1,-1,-13,-5,-3,0,0
1482545587179361,-1,4,12,-7,9,7,4,-3
1482545587180362,1,4,-1,33,-21,-4,2,-5
1482545587180362,0,-10,8,-47,-34,-18,-9,-7
1482545587193874,-2,0,7,-13,0,-1,-1,-4
1482545587193874,-2,1,6,38,14,4,-2,1
