timestamp,x,y,z,w
1482545586721222,-0.198914,0.100464,-0.658875,0.718445
1482545586746241,-0.199646,0.102234,-0.659241,0.717712
1482545586761252,-0.199768,0.102844,-0.659546,0.717285
1482545586781265,-0.198486,0.102173,-0.659668,0.717651
1482545586806288,-0.195251,0.100403,-0.660461,0.718018
1482545586826302,-0.194275,0.0993042,-0.660645,0.718262
1482545586841313,-0.193115,0.0964355,-0.661438,0.718262
1482545586898380,-0.192566,0.0944824,-0.66217,0.718018
1482545586899381,-0.192871,0.0927124,-0.663086,0.717346
1482545586904139,-0.191833,0.0897827,-0.664001,0.717102
1482545586926152,-0.188904,0.0860596,-0.664917,0.717468
1482545586947154,-0.185852,0.081543,-0.665771,0.718018
1482545586998693,-0.18512,0.078064,-0.665955,0.718445
1482545587008713,-0.1875,0.0768433,-0.665222,0.718628
1482545587009714,-0.19043,0.0748291,-0.6651,0.718201
1482545587022736,-0.193848,0.0724487,-0.664917,0.717712
1482545587043738,-0.198792,0.0704956,-0.665161,0.716248
1482545587065767,-0.203979,0.0687256,-0.665466,0.714722
1482545587082766,-0.207336,0.0654907,-0.666748,0.712891
1482545587103286,-0.208069,0.0608521,-0.66864,0.711304
1482545587126325,-0.207764,0.0551758,-0.671875,0.70874
1482545587142335,-0.207092,0.048584,-0.675049,0.706421
1482545587163350,-0.204407,0.0383301,-0.677734,0.705322
1482545587186366,-0.200867,0.0283813,-0.678833,0.705688
1482545587202880,-0.201904,0.0227661,-0.678162,0.706238
1482545587223896,-0.206116,0.019165,-0.675537,0.707642
1482545587245924,-0.206665,0.0129395,-0.670776,0.712158
1482545587262936,-0.203613,0.00372314,-0.665161,0.718384
1482545587283939,-0.199341,-0.00463867,-0.658081,0.726013
1482545587306000,-0.195313,-0.0105591,-0.650085,0.734253
1482545587324001,-0.195007,-0.0137939,-0.64209,0.741272
1482545587347016,-0.197327,-0.0161133,-0.633911,0.74762
1482545587366030,-0.199219,-0.0197754,-0.624756,0.7547
1482545587384042,-0.199524,-0.0234375,-0.615295,0.762268
1482545587404058,-0.200562,-0.0256958,-0.606018,0.769348
1482545587426075,-0.204346,-0.0261841,-0.59668,0.775574
1482545587444088,-0.208252,-0.0266113,-0.586792,0.782043
1482545587464103,-0.210327,-0.027771,-0.576843,0.788818
1482545587486118,-0.211914,-0.0283203,-0.566895,0.795593
1482545587504133,-0.213562,-0.0278931,-0.556213,0.802673
1482545587523147,-0.213623,-0.0283203,-0.545776,0.809753
1482545587546164,-0.211426,-0.0289307,-0.536743,0.816284
1482545587564177,-0.209778,-0.0281982,-0.529114,0.821716
