timestamp,x,y,z,w
1482546054223881,-0.227417,0.036377,0.231812,0.945068
1482546054246909,-0.231995,0.0440063,0.202698,0.950317
1482546054271919,-0.234375,0.0504761,0.17926,0.954102
1482546054285942,-0.238525,0.0557251,0.161987,0.955872
1482546054306959,-0.246521,0.0587769,0.148987,0.95575
1482546054330744,-0.253418,0.0594482,0.140442,0.9552
1482546054384780,-0.251709,0.0625,0.134399,0.95636
1482546054385728,-0.244873,0.0665283,0.132141,0.958191
1482546054385728,-0.241882,0.067688,0.132996,0.95874
1482546054397825,-0.243225,0.0653076,0.134766,0.958313
1482546054422554,-0.244263,0.0618286,0.135376,0.958191
1482546054437564,-0.24292,0.0601196,0.135681,0.958618
1482546054458614,-0.241089,0.0614624,0.137329,0.95874
1482546054504707,-0.241028,0.0645142,0.139648,0.958191
1482546054505195,-0.24353,0.0684204,0.142151,0.95697
1482546054517785,-0.247192,0.0706177,0.143066,0.955688
1482546054538957,-0.251099,0.0717773,0.143494,0.954529
1482546054556967,-0.254028,0.0723267,0.145142,0.953491
1482546054586990,-0.25415,0.0723267,0.149048,0.95282
1482546054599581,-0.253113,0.0722656,0.153381,0.952454
1482546054616639,-0.254761,0.0719604,0.160156,0.950928
1482546054639653,-0.259949,0.0717773,0.169678,0.947876
1482546054659699,-0.265137,0.0721436,0.181213,0.944275
1482546054676684,-0.269043,0.0733643,0.195129,0.940247
1482546054699731,-0.272766,0.0744019,0.211182,0.935669
1482546054718926,-0.27655,0.0733032,0.229797,0.930237
1482546054737009,-0.281799,0.0706787,0.251038,0.923279
1482546054760048,-0.287354,0.0670166,0.274048,0.915283
1482546054779091,-0.292114,0.062561,0.298767,0.906311
1482546054797614,-0.295227,0.0569458,0.325256,0.896484
1482546054827258,-0.296387,0.0487671,0.353699,0.885803
1482546054839376,-0.296692,0.038208,0.383728,0.873596
1482546054857331,-0.2948,0.0266113,0.414795,0.860352
1482546054879347,-0.290771,0.0154419,0.44635,0.84613
1482546054900931,-0.284119,0.00427246,0.477844,0.831177
1482546054917535,-0.275269,-0.00769043,0.508667,0.815735
1482546054939537,-0.265503,-0.0206909,0.538025,0.799744
1482546054960582,-0.25531,-0.0338135,0.565796,0.783264
1482546054976591,-0.243835,-0.0452271,0.592102,0.766724
1482546055004172,-0.22937,-0.0536499,0.618042,0.749939
1482546055021069,-0.214661,-0.0614014,0.642639,0.732849
1482546055037073,-0.199402,-0.0697021,0.664734,0.716553
1482546055059207,-0.185303,-0.0775757,0.684509,0.700745
1482546055080252,-0.172546,-0.0845947,0.702576,0.685181
1482546055097245,-0.159729,-0.0899048,0.71875,0.670654
1482546055119876,-0.146545,-0.0949707,0.732361,0.658081
1482546055140902,-0.133667,-0.100952,0.743591,0.647278
1482546055161921,-0.12384,-0.108521,0.753296,0.636658
1482546055179920,-0.117004,-0.114807,0.762085,0.626343
1482546055200968,-0.111267,-0.118469,0.77002,0.616882
1482546055222078,-0.105286,-0.121033,0.776733,0.609009
1482546055239091,-0.0998535,-0.123779,0.781555,0.603149
1482546055260134,-0.0961914,-0.127136,0.785095,0.59845
1482546055281135,-0.0947876,-0.129089,0.788757,0.593384
1482546055299137,-0.0933838,-0.128662,0.792542,0.588623
