timestamp,roll,pitch,yaw
1482546054223881,-0.432783,0.175086,0.442455
1482546054246909,-0.444428,0.178638,0.379803
1482546054271919,-0.451478,0.181339,0.329652
1482546054285942,-0.461778,0.184859,0.29214
1482546054306959,-0.479977,0.186895,0.263378
1482546054330744,-0.495677,0.185818,0.24478
1482546054384780,-0.492709,0.188315,0.231734
1482546054385728,-0.478301,0.193413,0.226782
1482546054385728,-0.471752,0.195369,0.228567
1482546054397825,-0.474575,0.191903,0.232862
1482546054422554,-0.47716,0.185687,0.235405
1482546054437564,-0.474603,0.182189,0.237024
1482546054458614,-0.470294,0.185126,0.240052
1482546054504707,-0.469242,0.192132,0.24335
1482546054505195,-0.47336,0.20155,0.246155
1482546054517785,-0.480432,0.207186,0.246237
1482546054538957,-0.488314,0.210643,0.245735
1482546054556967,-0.49403,0.213279,0.24814
1482546054586990,-0.493483,0.215248,0.255894
1482546054599581,-0.490465,0.217004,0.264818
1482546054616639,-0.492569,0.220238,0.278133
1482546054639653,-0.501439,0.226211,0.296092
1482546054659699,-0.509716,0.234482,0.317852
1482546054676684,-0.514447,0.245413,0.344346
1482546054699731,-0.518195,0.257266,0.375428
1482546054718926,-0.521795,0.266628,0.412786
1482546054737009,-0.528086,0.275467,0.455967
1482546054760048,-0.534849,0.283977,0.503483
1482546054779091,-0.539707,0.292083,0.555475
1482546054797614,-0.541111,0.298567,0.612611
1482546054827258,-0.539388,0.300564,0.676112
1482546054839376,-0.537223,0.298885,0.74483
1482546054857331,-0.531749,0.294596,0.817604
1482546054879347,-0.522541,0.28974,0.892814
1482546054900931,-0.509265,0.282369,0.969496
1482546054917535,-0.494051,0.270791,1.04646
1482546054939537,-0.480152,0.255366,1.12155
1482546054960582,-0.467826,0.238183,1.19409
1482546054976591,-0.453534,0.221197,1.26389
1482546055004172,-0.432431,0.204474,1.33336
1482546055021069,-0.412097,0.186991,1.40052
1482546055037073,-0.393806,0.165969,1.46255
1482546055059207,-0.378805,0.145474,1.51937
1482546055080252,-0.366337,0.126869,1.57235
1482546055097245,-0.352819,0.109238,1.62048
1482546055119876,-0.33983,0.0897719,1.66204
1482546055140902,-0.329877,0.0681518,1.69768
1482546055161921,-0.327379,0.0484149,1.73014
1482546055179920,-0.327575,0.0345242,1.75995
1482546055200968,-0.325548,0.0251952,1.78649
1482546055222078,-0.321829,0.0161385,1.80902
1482546055239091,-0.319343,0.00676729,1.82589
1482546055260134,-0.320205,-0.00113046,1.8391
1482546055281135,-0.321653,-0.00367024,1.85214
1482546055299137,-0.319276,-0.00344592,1.8644
1482546055321654,-0.3207,-0.0083637,1.87275
1482546055342681,-0.329547,-0.0111552,1.87925
1482546055358695,-0.332345,-0.0151326,1.87785
1482546055381712,-0.329888,-0.0130809,1.87484
1482546055402744,-0.323187,-0.00481411,1.8709
1482546055418428,-0.320403,0.00720853,1.86599
1482546055441431,-0.321635,0.0197231,1.85917
1482546055462466,-0.325453,0.0326116,1.84775
1482546055484481,-0.333234,0.0455627,1.8323
1482546055501506,-0.341881,0.0607414,1.81561
1482546055525015,-0.352132,0.0770085,1.79783
1482546055545324,-0.366435,0.0927362,1.779
1482546055561337,-0.387489,0.107967,1.76063
1482546055583385,-0.412524,0.128531,1.74576
1482546055604890,-0.442894,0.153316,1.73311
1482546055621512,-0.476982,0.177333,1.72772
1482546055643537,-0.511384,0.200012,1.73275
1482546055664550,-0.530854,0.217911,1.74927
1482546055681563,-0.530469,0.232566,1.77584
1482546055704089,-0.51567,0.247643,1.80956
1482546055724785,-0.493083,0.257445,1.84629
1482546055740796,-0.473018,0.267637,1.88235
1482546055763778,-0.459249,0.277661,1.91414
1482546055785815,-0.446097,0.285915,1.94085
1482546055801324,-0.430233,0.290401,1.96259
1482546055823186,-0.414805,0.290866,1.97627
1482546055846265,-0.409166,0.280783,1.98016
1482546055860229,-0.414055,0.26161,1.97943
1482546055883287,-0.420414,0.243711,1.97464
1482546055906280,-0.422702,0.225266,1.96732
1482546055920874,-0.425723,0.207636,1.95889
1482546055943869,-0.430453,0.191178,1.95205
1482546055965884,-0.429248,0.175703,1.94924
1482546055980915,-0.420472,0.162302,1.9486
1482546056004028,-0.409212,0.149477,1.95033
1482546056026123,-0.400439,0.138027,1.95262
1482546056040216,-0.394336,0.128676,1.9542
1482546056064281,-0.38736,0.119337,1.95583
1482546056086298,-0.383516,0.115756,1.95622
1482546056108885,-0.378528,0.116945,1.95609
1482546056123994,-0.373716,0.123116,1.95873
1482546056145994,-0.367969,0.131048,1.96419
1482546056167069,-0.363905,0.136999,1.96921
1482546056184022,-0.359707,0.140208,1.9747
1482546056206573,-0.357711,0.141694,1.98271
1482546056227348,-0.354942,0.142201,1.99214
1482546056249385,-0.3498,0.143497,2.00078
1482546056266336,-0.342078,0.146888,2.00536
1482546056287412,-0.337446,0.149814,2.00902
1482546056303889,-0.336254,0.150224,2.01228
1482546056326539,-0.333492,0.149139,2.01232
1482546056347554,-0.331393,0.152651,2.00834
1482546056363561,-0.330857,0.159519,1.99952
1482546056386584,-0.339475,0.170138,1.98544
