timestamp,x,y,z
1482546054223881,-0.571777,-0.454102,0.901855
1482546054246909,-0.383301,-0.520996,0.921387
1482546054271919,-0.335449,-0.507324,0.89209
1482546054285942,-0.362793,-0.502441,0.797363
1482546054306959,-0.391602,-0.64502,0.727051
1482546054330744,-0.327637,-0.83252,0.710449
1482546054384780,-0.295898,-0.725586,0.720703
1482546054385728,-0.357422,-0.459961,0.638672
1482546054385728,-0.369629,-0.368164,0.697754
1482546054397825,-0.357422,-0.492188,0.723633
1482546054422554,-0.337402,-0.580566,0.799805
1482546054437564,-0.28125,-0.561035,0.878418
1482546054458614,-0.257813,-0.497559,0.898926
1482546054504707,-0.292969,-0.428223,0.935547
1482546054505195,-0.328613,-0.414551,0.883789
1482546054517785,-0.286621,-0.460449,0.907227
1482546054538957,-0.267578,-0.483398,0.903809
1482546054556967,-0.288574,-0.588379,0.90918
1482546054586990,-0.285645,-0.596191,0.850098
1482546054599581,-0.234375,-0.525879,0.820313
1482546054616639,-0.250977,-0.510254,0.793945
1482546054639653,-0.32666,-0.593262,0.76416
1482546054659699,-0.385742,-0.631836,0.772949
1482546054676684,-0.416992,-0.589844,0.744141
1482546054699731,-0.438965,-0.580078,0.764648
1482546054718926,-0.458984,-0.517578,0.776367
1482546054737009,-0.449707,-0.537109,0.853027
1482546054760048,-0.452148,-0.549316,0.848633
1482546054779091,-0.470703,-0.566895,0.871582
1482546054797614,-0.501953,-0.557617,0.890137
1482546054827258,-0.480469,-0.559082,0.924316
1482546054839376,-0.43457,-0.567871,0.921875
1482546054857331,-0.422852,-0.597168,0.923828
1482546054879347,-0.402832,-0.608398,0.891602
1482546054900931,-0.40332,-0.605957,0.866211
1482546054917535,-0.364258,-0.57373,0.837891
1482546054939537,-0.308594,-0.595215,0.822266
1482546054960582,-0.245605,-0.629395,0.829102
1482546054976591,-0.197754,-0.654785,0.809082
1482546055004172,-0.16748,-0.568359,0.80957
1482546055021069,-0.12207,-0.555176,0.805176
1482546055037073,-0.0922852,-0.52002,0.796875
1482546055059207,-0.019043,-0.459961,0.826172
1482546055080252,0.0166016,-0.497559,0.855469
1482546055097245,0.0180664,-0.564453,0.825195
1482546055119876,0.0161133,-0.494141,0.783691
1482546055140902,0.0976563,-0.421387,0.758301
1482546055161921,0.206055,-0.422363,0.765137
1482546055179920,0.202637,-0.469727,0.76123
1482546055200968,0.155273,-0.482422,0.789551
1482546055222078,0.164063,-0.420898,0.806152
1482546055239091,0.205078,-0.393555,0.860352
1482546055260134,0.291016,-0.356934,0.897461
1482546055281135,0.281738,-0.358398,0.925781
1482546055299137,0.236328,-0.263672,0.953125
1482546055321654,0.354004,-0.233887,0.900879
1482546055342681,0.240234,-0.385742,0.953613
1482546055358695,0.288086,-0.430664,1.00195
1482546055381712,0.28125,-0.366699,1.04102
1482546055402744,0.164551,-0.305664,1.03906
1482546055418428,0.0698242,-0.27832,1.02588
1482546055441431,0.0317383,-0.282715,1.04883
1482546055462466,-0.0463867,-0.288574,1.02881
1482546055484481,-0.0703125,-0.277344,1.02832
1482546055501506,-0.0947266,-0.33252,1.00049
1482546055525015,-0.155273,-0.389648,0.956543
1482546055545324,-0.22168,-0.439941,0.916016
1482546055561337,-0.197266,-0.437988,0.901855
1482546055583385,-0.165527,-0.476074,0.906738
1482546055604890,-0.236328,-0.470703,0.778809
1482546055621512,-0.275391,-0.549805,0.69873
1482546055643537,-0.350098,-0.6875,0.678223
1482546055664550,-0.414063,-0.715332,0.729492
1482546055681563,-0.441895,-0.680176,0.772949
1482546055704089,-0.460938,-0.592285,0.782715
1482546055724785,-0.417969,-0.445801,0.810547
1482546055740796,-0.296387,-0.361328,0.871582
1482546055763778,-0.166992,-0.286133,0.935547
1482546055785815,-0.109863,-0.281738,0.945313
1482546055801324,-0.0585938,-0.288086,0.959473
1482546055823186,-0.145996,-0.309082,0.964844
1482546055846265,-0.217285,-0.231445,0.962402
1482546055860229,0.0200195,-0.250488,1.03223
1482546055883287,0.074707,-0.443848,1.04834
1482546055906280,-0.0195313,-0.455078,0.978027
1482546055920874,0.0078125,-0.412109,0.945801
1482546055943869,-0.0361328,-0.541504,0.938965
1482546055965884,-0.104004,-0.555176,0.910645
1482546055980915,-0.20166,-0.521484,0.862793
1482546056004028,-0.241699,-0.42627,0.86377
1482546056026123,-0.253906,-0.402832,0.866699
1482546056040216,-0.290039,-0.391602,0.835449
1482546056064281,-0.25,-0.42041,0.888184
1482546056086298,-0.307129,-0.403809,0.880859
1482546056108885,-0.305176,-0.393066,0.881348
1482546056123994,-0.296875,-0.37793,0.909668
1482546056145994,-0.276855,-0.371582,0.92334
1482546056167069,-0.254883,-0.370117,0.928711
1482546056184022,-0.203125,-0.308105,0.94043
1482546056206573,-0.166016,-0.287598,0.946289
1482546056227348,-0.126953,-0.349121,0.974609
1482546056249385,-0.108398,-0.369141,0.996094
1482546056266336,-0.0839844,-0.266113,0.986328
1482546056287412,-0.0966797,-0.244141,0.965332
1482546056303889,-0.0625,-0.311035,0.980469
1482546056326539,0.000488281,-0.322266,1.02441
1482546056347554,0.0136719,-0.274902,0.995117
1482546056363561,-0.0341797,-0.196777,1.00098
1482546056386584,-0.0830078,-0.215332,0.992188
1482546056407617,-0.176758,-0.241211,0.981445
1482546056423828,-0.295898,-0.250488,0.939453
1482546056445864,-0.40918,-0.404297,0.836914
1482546056467157,-0.513672,-0.518555,0.845703
1482546056484129,-0.547363,-0.491211,0.900879
1482546056506689,-0.575195,-0.351074,0.933105
1482546056526846,-0.391602,-0.243164,1.00195
1482546056543852,-0.236328,-0.336914,1.0127
1482546056565860,-0.313477,-0.454102,0.947754
1482546056586995,-0.277344,-0.544922,0.917969
1482546056610254,-0.205566,-0.54248,0.826172
1482546056625913,-0.101074,-0.623047,0.769043
1482546056646954,-0.050293,-0.65332,0.811035
1482546056663912,-0.0771484,-0.562988,0.839355
1482546056685956,-0.164551,-0.413574,0.833496
1482546056707639,-0.102051,-0.385742,0.849609
1482546056722705,-0.074707,-0.406738,0.947754
1482546056745725,-0.0239258,-0.227539,0.999512
1482546056768742,-0.0942383,-0.140625,0.966309
1482546056782745,-0.0805664,-0.337891,0.934082
1482546056806282,-0.0576172,-0.37793,0.972656
1482546056828915,-0.0327148,-0.313965,0.973145
1482546056842919,0.0214844,-0.217285,0.974121
1482546056865945,0.0869141,-0.149902,1.02148
1482546056888959,-0.0375977,-0.162598,0.947754
1482546056903488,-0.0258789,-0.211426,0.919922
1482546056926097,0.0717773,-0.301758,0.976074
1482546056949118,0.0375977,-0.229004,0.920898
1482546056963169,0.0561523,-0.168457,0.868652
1482546056986231,0.0458984,-0.230469,0.871582
1482546057008804,0.0214844,-0.291504,0.852051
1482546057029853,0.0708008,-0.345215,0.929688
1482546057045926,0.0483398,-0.277344,0.918945
1482546057068917,0.0947266,-0.244629,0.964844
1482546057089983,0.128418,-0.345215,1.0249
